,id,date,tweet,likes_count,hashtags,sentiment
6344,1313985930382864384,2020-10-07,おはよー☀️ 寒すぎ❄昨日は本当にありがとう！ って事で次は  🏆MGも賞金・ゲリラを取るだけで自分も儲かる杯🏆  っていうのをやろうかな  試合は スクワッドかクイン1500円×人数  確定グル内(共有アカ不可) 1万～5万の(iTunes、Amazon、PayPay)ぶん投げ祭り 早い者取り  案件取り頑張って♡,38,[],0.0
6345,1313985850653519873,2020-10-07,"@rosieglow2010 @pamther77 Honey, I’m disabled but carry a zap cane. If one of those fellas tried to stop me, I’d blast him with it. Then I’d hit him in the nuts and zap him again. Not so proud then, are ya kid? You can get them on amazon. Just don’t use it in the rain, or you’ll be the one zapped!",56,[],0.10000000000000002
6346,1313985642489995264,2020-10-07,$JCPNQ $AMZN GOAL: 50% growth THIS FALL per Amazon ER call.  via  FORTRESS INVESTMENT GROUP LLC ($42B AUM) who are listed as THIRD PARTIES in JC Penney BK Case!  JCP's footprint comparison:  https://t.co/ZWTWCHES5J  https://t.co/5L7FPpvplS,15,[],0.0
6347,1313985598844137474,2020-10-07,"To play fortnite and have fun you need to have a 240 hz, full decked out pc with 2080ti, 200+ hours on creative, kovaaks every day, be in a prac cord to scrim everyday, and squeeze into the best friend groups with egos the size of  Amazon @fortnite",49,[],0.39
6348,1313985563645546496,2020-10-07,@kotatuyukkuri シャドウサイド超絶面白いですよぉ✨❤️ 主人公やラスボスの正体、前世からの縁など イケメンもたくさん出てきますしー！！  Amazonプライムをはじめ、各動画配信サイトで配信やってるので是非観てくださいねっ  https://t.co/OQyNWaaq3E,69,[],0.0
6349,1313985550022438912,2020-10-07,昨日、三井住友カードから不正利用検知のお知らせが来た。 確認するとAmazonで2回同じ金額で時間をずらして決済されてました。 ちなみにカードは、VISALINE Payカード  https://t.co/liPPsxhLRe,17,[],0.0
6350,1313985497119617024,2020-10-07, https://t.co/lbBXnwoQv3 🍀Amazon演歌新着ランキング🍀 🍀８位🍀 売れ筋27位  このベストアルバムの勢いに乗って年末迄🏃‍♀️🚄💨💨  #丘みどり　さん #デビュー１５周年ベストアルバム  https://t.co/ovFzeWDp0N,32,"['丘みどり', 'デビュー１５周年ベストアルバム']",0.0
6351,1313985108601380864,2020-10-07,Interested readers can now get their copy of ‘NAKED ABUSE: Sex for grades in African universities’ on Amazon:  https://t.co/mb16n2CNL4,132,[],0.08333333333333333
6352,1313984949389647872,2020-10-07,『滅びの前のシャングリラ』を先日急いで予約。 1軒目『発売前の本は予約が受けられなくなったんです』 2軒目、ヘルプっぽい店員さん『ん？少女漫画かな？』  Amazonさんでぽちったので読めるのは明日っぽい、、！,14,[],0.0
6353,1313984788705861633,2020-10-07,@waiyakedo 怖すぎです😱そして字が汚い💦達筆すぎてもどちらにしてもきもいけど🤮 引っ越すまでは二重ロックですね💦あと付けできる鍵、ホームセンターとかAmazonに売ってますよ😊,163,[],0.0
6354,1313984615745384449,2020-10-07,I have the kiddos that boycott Amazon but shop at Whole Foods shook today.,160,[],0.2
6355,1313984461051064320,2020-10-07,【反省】まただろう運転です。文庫本4巻でAmazon価格が4000円のセット本があるのですが、3巻までが単Cに落ちていて仕入れました  最終巻はネットで買えばいいかと軽い気持ちでした。するとどうでしょう。Amazonにもブックオフオンラインにもありません。やってしまった。,27,[],0.0
6356,1313984351055548416,2020-10-07,"""Make Spielberg Great Again: The Steven Spielberg Chronicles"" is here! Mysteries revealed at Amazon.  https://t.co/fs3lg4oBIm",25,[],0.3333333333333333
6357,1313984198588465152,2020-10-07,"A trans Amazon worker told his bosses he was pregnant. He says he was ‘harassed’, demoted and forced to lift heavy items  https://t.co/YfSF90C1l1",50,[],0.04166666666666666
6358,1313984113586712576,2020-10-07,#8 on the entire Amazon non-fiction catalogue. The Immortality Key is officially “unputdownable”.  https://t.co/yUsbdpiONT  https://t.co/RvmmhC97SM,166,[],0.0
6359,1313983696202993666,2020-10-07,毎日🐜プレゼント企画🐜 10月分💝8日目💝 ▷Amazonギフト券100円分◁  当選人数:1人 応募条件:フォロー&amp;RT&amp;当選報告 締め切り: 10/8 23:59  #プレゼント企画 #Amazonギフト券 #ポイ活 #懸賞 #アマギフ #お小遣い稼ぎ  https://t.co/kk0auyt0Um,72,"['プレゼント企画', 'amazonギフト券', 'ポイ活', '懸賞', 'アマギフ', 'お小遣い稼ぎ']",0.0
6360,1313983567484121089,2020-10-07,"💛 Oferta Amazon + Cupom    📚 Território Lovecraft (capa dura)  🛒 https://t.co/Wll5n8GF4P 🎟️ LIVROPRIME10 (para contas prime)   ✨ Pague no app Recarga Pay e use o cupom rebnev794,você ganha 10 reais de desconto e ele sai por 10,54 ou 8,48! (tutorial no próximo tweet)  https://t.co/XjWcHZwttp",27,[],0.0
6361,1313983557828714497,2020-10-07,"These assessments shift. I didn’t think of Ann Arbor as provincial when I lived there but based on visit last year, now I do. Even if you’re at the university.   Insular != provincial. Seattle is very worldly and global (has amazon and Starbucks after all) but still insular.",14,[],0.02
6362,1313983531983556610,2020-10-07,"@DesignationSix @amazon @BestBuy @KraftHeinzCo @Verizon @Disney @hulu @officedepot @legacybox @WeatherTech @CrowdStrike @tecovas @Zappos @Experian_US @Bayer @MyPillowUSA @DealDash @NordicTrack @ForceFactor @amazon, @KraftHeinzCo, @Verizon I am a consumer of your products/services and I encourage you to pull all advertising from the Fox News Channel. They have become a propaganda outlet that spreads dangerous and false information.",26,[],-0.18333333333333335
6363,1313983517915779075,2020-10-07,"319 canciones de Natalia en Amazon??? Acaso Amazon tiene las de la academia, pre OT y TODAS las que ha compuesto hasta el día de hoy!! Excelente servicio!!  https://t.co/on7dTwjCmt",16,[],0.0
