"","stock","price_ma","price_window","sentiment_ma","sentiment_window","return_percent"
"118","Disney",NA,NA,"SMA",20,147.9277551382
"119","Disney","SMA",20,NA,NA,100.6515454666
"120","Disney","SMA",20,"SMA",20,100
"121","Disney",NA,NA,"WMA",20,147.9277551382
"122","Disney","WMA",20,NA,NA,83.9394172344
"123","Disney","WMA",20,"WMA",20,100
"124","Disney",NA,NA,"EMA",20,147.9277551382
"125","Disney","EMA",20,NA,NA,85.415825832
"126","Disney","EMA",20,"EMA",20,100
"127","Disney",NA,NA,"SMA",25,147.9277551382
"128","Disney","SMA",25,NA,NA,109.1806694285
"129","Disney","SMA",25,"SMA",25,100
"130","Disney",NA,NA,"WMA",25,147.9277551382
"131","Disney","WMA",25,NA,NA,103.9398567483
"132","Disney","WMA",25,"WMA",25,100
"133","Disney",NA,NA,"EMA",25,147.9277551382
"134","Disney","EMA",25,NA,NA,96.3426066701
"135","Disney","EMA",25,"EMA",25,100
"136","Disney",NA,NA,"SMA",30,147.9277551382
"137","Disney","SMA",30,NA,NA,105.8300291436
"138","Disney","SMA",30,"SMA",30,100
"139","Disney",NA,NA,"WMA",30,147.9277551382
"140","Disney","WMA",30,NA,NA,99.3656856194
"141","Disney","WMA",30,"WMA",30,100
"142","Disney",NA,NA,"EMA",30,147.9277551382
"143","Disney","EMA",30,NA,NA,88.7612137526999
"144","Disney","EMA",30,"EMA",30,100
"145","Disney",NA,NA,"SMA",35,147.9277551382
"146","Disney","SMA",35,NA,NA,107.830772047
"147","Disney","SMA",35,"SMA",35,100
"148","Disney",NA,NA,"WMA",35,147.9277551382
"149","Disney","WMA",35,NA,NA,100.6649646595
"150","Disney","WMA",35,"WMA",35,100
"151","Disney",NA,NA,"EMA",35,147.9277551382
"152","Disney","EMA",35,NA,NA,77.9047972158999
"153","Disney","EMA",35,"EMA",35,100
"154","Disney",NA,NA,"SMA",40,100
"155","Disney","SMA",40,NA,NA,100.4057499605
"156","Disney","SMA",40,"SMA",40,100
"157","Disney",NA,NA,"WMA",40,147.9277551382
"158","Disney","WMA",40,NA,NA,101.3407127281
"159","Disney","WMA",40,"WMA",40,100
"160","Disney",NA,NA,"EMA",40,147.9277551382
"161","Disney","EMA",40,NA,NA,84.7587551513999
"162","Disney","EMA",40,"EMA",40,100
"163","Disney",NA,NA,"SMA",45,100
"164","Disney","SMA",45,NA,NA,106.0259116746
"165","Disney","SMA",45,"SMA",45,100
"166","Disney",NA,NA,"WMA",45,147.9277551382
"167","Disney","WMA",45,NA,NA,101.7985502142
"168","Disney","WMA",45,"WMA",45,100
"169","Disney",NA,NA,"EMA",45,100
"170","Disney","EMA",45,NA,NA,79.6244329414999
"171","Disney","EMA",45,"EMA",45,100
"172","Disney",NA,NA,"SMA",50,0
"173","Disney","SMA",50,NA,NA,82.5034068148
"174","Disney","SMA",50,"SMA",50,NA
"175","Disney",NA,NA,"WMA",50,147.9277551382
"176","Disney","WMA",50,NA,NA,102.5390629787
"177","Disney","WMA",50,"WMA",50,100
"178","Disney",NA,NA,"EMA",50,100
"179","Disney","EMA",50,NA,NA,75.355414862
"180","Disney","EMA",50,"EMA",50,100
"181","Intel",NA,NA,"SMA",5,147.798227386
"182","Intel","SMA",5,NA,NA,78.4622262364
"183","Intel","SMA",5,"SMA",5,162.6497255167
"184","Intel",NA,NA,"WMA",5,148.8299699416
"185","Intel","WMA",5,NA,NA,75.5763793590999
"186","Intel","WMA",5,"WMA",5,164.2714110616
"187","Intel",NA,NA,"EMA",5,147.8323692452
"188","Intel","EMA",5,NA,NA,71.8698719049
"189","Intel","EMA",5,"EMA",5,162.6497255167
"190","Intel",NA,NA,"SMA",10,144.5321847077
"191","Intel","SMA",10,NA,NA,70.1881721677
